"","word","len","model","prompt","prompt_id","output","correct_answer","out_letters","answer_grep","set","token_size"
"1","An",2,"text-davinci-003","Spell the word An backwards",1,"

nA",NA,NA,TRUE,"real_words",NA
"2","As",2,"text-davinci-003","Spell the word As backwards",1,"

sa","SA","SA",TRUE,"real_words",NA
"3","At",2,"text-davinci-003","Spell the word At backwards",1,"

tA","TA","TA",TRUE,"real_words",NA
"4","By",2,"text-davinci-003","Spell the word By backwards",1,"

yB","YB","YB",TRUE,"real_words",NA
"5","Go",2,"text-davinci-003","Spell the word Go backwards",1,"

oG","OG","OG",TRUE,"real_words",NA
"6","He",2,"text-davinci-003","Spell the word He backwards",1,"

eH","EH","EH",TRUE,"real_words",NA
"7","In",2,"text-davinci-003","Spell the word In backwards",1,"

sni","NI","SNI",TRUE,"real_words",NA
"8","Is",2,"text-davinci-003","Spell the word Is backwards",1,"

sI","SI","SI",TRUE,"real_words",NA
"9","Of",2,"text-davinci-003","Spell the word Of backwards",1,"

fO","FO","FO",TRUE,"real_words",NA
"10","On",2,"text-davinci-003","Spell the word On backwards",1,"

nO","NO","NO",TRUE,"real_words",NA
"11","Cat",3,"text-davinci-003","Spell the word Cat backwards",1,"

tac","TAC","TAC",TRUE,"real_words",NA
"12","Dog",3,"text-davinci-003","Spell the word Dog backwards",1,"

g-o-D","GOD","GOD",TRUE,"real_words",NA
"13","Car",3,"text-davinci-003","Spell the word Car backwards",1,"

raC","RAC","RAC",TRUE,"real_words",NA
"14","Sun",3,"text-davinci-003","Spell the word Sun backwards",1,"

nus","NUS","NUS",TRUE,"real_words",NA
"15","Rat",3,"text-davinci-003","Spell the word Rat backwards",1,"

taR","TAR","TAR",TRUE,"real_words",NA
"16","Man",3,"text-davinci-003","Spell the word Man backwards",1,"

naM","NAM","NAM",TRUE,"real_words",NA
"17","Red",3,"text-davinci-003","Spell the word Red backwards",1,"

der","DER","DER",TRUE,"real_words",NA
"18","Fun",3,"text-davinci-003","Spell the word Fun backwards",1,"

nuF","NUF","NUF",TRUE,"real_words",NA
"19","Run",3,"text-davinci-003","Spell the word Run backwards",1,"

nur","NUR","NUR",TRUE,"real_words",NA
"20","Hat",3,"text-davinci-003","Spell the word Hat backwards",1,"

taH","TAH","TAH",TRUE,"real_words",NA
"21","Fish",4,"text-davinci-003","Spell the word Fish backwards",1,"

hsiF","HSIF","HSIF",TRUE,"real_words",NA
"22","Fire",4,"text-davinci-003","Spell the word Fire backwards",1,"

eriF","ERIF","ERIF",TRUE,"real_words",NA
"23","Fowl",4,"text-davinci-003","Spell the word Fowl backwards",1,"

wlof","LWOF","WLOF",FALSE,"real_words",NA
"24","Hill",4,"text-davinci-003","Spell the word Hill backwards",1,"

llih","LLIH","LLIH",TRUE,"real_words",NA
"25","Hair",4,"text-davinci-003","Spell the word Hair backwards",1,"

riah","RIAH","RIAH",TRUE,"real_words",NA
"26","Hand",4,"text-davinci-003","Spell the word Hand backwards",1,"

dnah","DNAH","DNAH",TRUE,"real_words",NA
"27","Moon",4,"text-davinci-003","Spell the word Moon backwards",1,"

noom","NOOM","NOOM",TRUE,"real_words",NA
"28","Star",4,"text-davinci-003","Spell the word Star backwards",1,"

rats","RATS","RATS",TRUE,"real_words",NA
"29","Tide",4,"text-davinci-003","Spell the word Tide backwards",1,"

ediT","EDIT","EDIT",TRUE,"real_words",NA
"30","Wind",4,"text-davinci-003","Spell the word Wind backwards",1,"

dnwi","DNIW","DNWI",FALSE,"real_words",NA
"31","Apple",5,"text-davinci-003","Spell the word Apple backwards",1,"

elppa","ELPPA","ELPPA",TRUE,"real_words",NA
"32","Bench",5,"text-davinci-003","Spell the word Bench backwards",1,"

hcneB","HCNEB","HCNEB",TRUE,"real_words",NA
"33","Chair",5,"text-davinci-003","Spell the word Chair backwards",1,"

Riahc","RIAHC","RIAHC",TRUE,"real_words",NA
